# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2013-07-02 22:08:51 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03290500 KENTUCKY RIVER AT LOCK 2 AT LOCKPORT, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03290500
#    DD parameter statistic   Description
#    06   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	06_00060_00003	06_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03290500	2012-07-01	171	A
USGS	03290500	2012-07-02	190	A
USGS	03290500	2012-07-03	164	A
USGS	03290500	2012-07-04	151	A
USGS	03290500	2012-07-05	153	A
USGS	03290500	2012-07-06	142	A
USGS	03290500	2012-07-07	127	A
USGS	03290500	2012-07-08	120	A
USGS	03290500	2012-07-09	136	A
USGS	03290500	2012-07-10	533	A
USGS	03290500	2012-07-11	661	A
USGS	03290500	2012-07-12	584	A
USGS	03290500	2012-07-13	525	A
USGS	03290500	2012-07-14	711	A
USGS	03290500	2012-07-15	1150	A
USGS	03290500	2012-07-16	1690	A
USGS	03290500	2012-07-17	2280	A
USGS	03290500	2012-07-18	2240	A
USGS	03290500	2012-07-19	2280	A
USGS	03290500	2012-07-20	2480	A
USGS	03290500	2012-07-21	3040	A
USGS	03290500	2012-07-22	2900	A
USGS	03290500	2012-07-23	3320	A
USGS	03290500	2012-07-24	2930	A
USGS	03290500	2012-07-25	2150	A
USGS	03290500	2012-07-26	1530	A
USGS	03290500	2012-07-27	1870	A
USGS	03290500	2012-07-28	4380	A
USGS	03290500	2012-07-29	3400	A
USGS	03290500	2012-07-30	2300	A
USGS	03290500	2012-07-31	1670	A
USGS	03290500	2012-08-01	1250	A
USGS	03290500	2012-08-02	998	A
USGS	03290500	2012-08-03	876	A
USGS	03290500	2012-08-04	865	A
USGS	03290500	2012-08-05	1080	A
USGS	03290500	2012-08-06	1330	A
USGS	03290500	2012-08-07	1280	A
USGS	03290500	2012-08-08	1170	A
USGS	03290500	2012-08-09	1310	A
USGS	03290500	2012-08-10	2160	A
USGS	03290500	2012-08-11	2440	A
USGS	03290500	2012-08-12	1980	A
USGS	03290500	2012-08-13	1480	A
USGS	03290500	2012-08-14	1260	A
USGS	03290500	2012-08-15	1200	A
USGS	03290500	2012-08-16	1010	A
USGS	03290500	2012-08-17	859	A
USGS	03290500	2012-08-18	779	A
USGS	03290500	2012-08-19	924	A
USGS	03290500	2012-08-20	1010	A
USGS	03290500	2012-08-21	835	A
USGS	03290500	2012-08-22	760	A
USGS	03290500	2012-08-23	717	A
USGS	03290500	2012-08-24	901	A
USGS	03290500	2012-08-25	764	A
USGS	03290500	2012-08-26	423	A
USGS	03290500	2012-08-27	349	A
USGS	03290500	2012-08-28	359	A
USGS	03290500	2012-08-29	316	A
USGS	03290500	2012-08-30	302	A
USGS	03290500	2012-08-31	281	A
USGS	03290500	2012-09-01	220	A
USGS	03290500	2012-09-02	221	A
USGS	03290500	2012-09-03	510	A
USGS	03290500	2012-09-04	624	A
USGS	03290500	2012-09-05	769	A
USGS	03290500	2012-09-06	1330	A
USGS	03290500	2012-09-07	883	A
USGS	03290500	2012-09-08	1550	A
USGS	03290500	2012-09-09	1480	A:e
USGS	03290500	2012-09-10	1310	A:e
USGS	03290500	2012-09-11	902	A:e
USGS	03290500	2012-09-12	909	A:e
USGS	03290500	2012-09-13	715	A:e
USGS	03290500	2012-09-14	685	A
USGS	03290500	2012-09-15	635	A
USGS	03290500	2012-09-16	545	A
