# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ky/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2013-07-12 09:48:06 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03298500 SALT RIVER AT SHEPHERDSVILLE, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03298500
#    DD parameter   Description
#    02   00065     Gage height, feet
#    05   00060     Discharge, cubic feet per second
#    10   70969     DCP battery voltage, volts
#    19   00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
#     s  Value is from a DCP.  
#     ~  Value is a system interpolated value.  
# 
agency_cd	site_no	datetime	tz_cd	02_00065	02_00065_cd	05_00060	05_00060_cd	10_70969	10_70969_cd	19_00045	19_00045_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03298500	2013-06-01 00:00	EDT	1.50	P	228	P	12.7	P:s	0.00	P
USGS	03298500	2013-06-01 00:15	EDT	1.51	P	232	P			0.00	P
USGS	03298500	2013-06-01 00:30	EDT	1.51	P	232	P			0.00	P
USGS	03298500	2013-06-01 00:45	EDT	1.52	P	237	P			0.00	P
USGS	03298500	2013-06-01 01:00	EDT	1.51	P	232	P	12.7	P:s	0.00	P
USGS	03298500	2013-06-01 01:15	EDT	1.51	P	232	P			0.00	P
USGS	03298500	2013-06-01 01:30	EDT	1.51	P	232	P			0.00	P
USGS	03298500	2013-06-01 01:45	EDT	1.53	P	241	P			0.00	P
USGS	03298500	2013-06-01 02:00	EDT	1.53	P	241	P	12.7	P:s	0.00	P
USGS	03298500	2013-06-01 02:15	EDT	1.52	P	237	P			0.00	P
USGS	03298500	2013-06-01 02:30	EDT	1.53	P	241	P			0.00	P
USGS	03298500	2013-06-01 02:45	EDT	1.53	P	241	P			0.00	P
USGS	03298500	2013-06-01 03:00	EDT	1.53	P	241	P	12.7	P:s	0.00	P
USGS	03298500	2013-06-01 03:15	EDT	1.53	P	241	P			0.00	P
USGS	03298500	2013-06-01 03:30	EDT	1.50	P	228	P			0.00	P
USGS	03298500	2013-06-01 03:45	EDT	1.53	P	241	P			0.00	P
USGS	03298500	2013-06-01 04:00	EDT	1.52	P	237	P	12.7	P:s	0.00	P
USGS	03298500	2013-06-01 04:15	EDT	1.53	P	241	P			0.00	P
USGS	03298500	2013-06-01 04:30	EDT	1.54	P	245	P			0.00	P
USGS	03298500	2013-06-01 04:45	EDT	1.51	P	232	P			0.00	P
USGS	03298500	2013-06-01 05:00	EDT	1.50	P	228	P	12.7	P:s	0.00	P
USGS	03298500	2013-06-01 05:15	EDT	1.55	P	250	P			0.00	P
USGS	03298500	2013-06-01 05:30	EDT	1.57	P	259	P			0.00	P
USGS	03298500	2013-06-01 05:45	EDT	1.56	P	254	P			0.00	P
USGS	03298500	2013-06-01 06:00	EDT	1.57	P	259	P	12.7	P:s	0.00	P
USGS	03298500	2013-06-01 06:15	EDT	1.52	P	237	P			0.00	P
USGS	03298500	2013-06-01 06:30	EDT	1.56	P	254	P			0.00	P
USGS	03298500	2013-06-01 06:45	EDT	1.57	P	259	P			0.00	P
USGS	03298500	2013-06-01 07:00	EDT	1.56	P	254	P	12.7	P:s	0.02	P
USGS	03298500	2013-06-01 07:15	EDT	1.59	P	268	P			0.02	P
USGS	03298500	2013-06-01 07:30	EDT	1.59	P	268	P			0.01	P
USGS	03298500	2013-06-01 07:45	EDT	1.59	P	268	P			0.00	P
