# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-13 15:51:26 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03287500 KENTUCKY RIVER AT LOCK 4 AT FRANKFORT, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03287500
#    DD parameter   Description
#    01   00010     Temperature, water, degrees Celsius
#    02   00060     Discharge, cubic feet per second
#    07   00065     Gage height, feet
#    22   00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
#     h  Value exceeds "high" threshold.  
#     ~  Value is a system interpolated value.  
# 
agency_cd	site_no	datetime	tz_cd	01_00010	01_00010_cd	02_00060	02_00060_cd	07_00065	07_00065_cd	22_00045	22_00045_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03287500	2014-01-01 00:00	EST	7.1	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 00:15	EST	7.1	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 00:30	EST	7.1	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 00:45	EST	7.1	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 01:00	EST	7.1	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 01:15	EST	7.1	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 01:30	EST	7.1	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 01:45	EST	7.1	P	21300	P	11.77	P	0.00	P
USGS	03287500	2014-01-01 02:00	EST	7.1	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 02:15	EST	7.1	P	21300	P	11.77	P	0.00	P
USGS	03287500	2014-01-01 02:30	EST	7.1	P	21300	P	11.78	P	0.00	P
USGS	03287500	2014-01-01 02:45	EST	7.1	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 03:00	EST	7.1	P	21300	P	11.77	P	0.00	P
USGS	03287500	2014-01-01 03:15	EST	7.0	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 03:30	EST	7.0	P	21300	P	11.77	P	0.00	P
USGS	03287500	2014-01-01 03:45	EST	7.0	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 04:00	EST	7.0	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 04:15	EST	7.0	P	21300	P	11.77	P	0.00	P
USGS	03287500	2014-01-01 04:30	EST	7.0	P	21100	P	11.75	P	0.00	P
USGS	03287500	2014-01-01 04:45	EST	7.0	P	21200	P	11.76	P	0.00	P
USGS	03287500	2014-01-01 05:00	EST	7.0	P	21100	P	11.75	P	0.00	P
USGS	03287500	2014-01-01 05:15	EST	7.0	P	21100	P	11.74	P	0.00	P
USGS	03287500	2014-01-01 05:30	EST	7.0	P	21100	P	11.74	P	0.00	P
USGS	03287500	2014-01-01 05:45	EST	7.0	P	21100	P	11.74	P	0.00	P
USGS	03287500	2014-01-01 06:00	EST	7.0	P	21100	P	11.74	P	0.00	P
USGS	03287500	2014-01-01 06:15	EST	7.0	P	21100	P	11.74	P	0.00	P
USGS	03287500	2014-01-01 06:30	EST	7.0	P	21100	P	11.74	P	0.00	P
USGS	03287500	2014-01-01 06:45	EST	6.9	P	21000	P	11.73	P	0.00	P
USGS	03287500	2014-01-01 07:00	EST	6.9	P	21000	P	11.73	P	0.00	P
USGS	03287500	2014-01-01 07:15	EST	6.9	P	21000	P	11.73	P	0.00	P
USGS	03287500	2014-01-01 07:30	EST	6.9	P	20900	P	11.72	P	0.00	P
USGS	03287500	2014-01-01 07:45	EST	6.9	P	21000	P	11.73	P	0.00	P
USGS	03287500	2014-01-01 08:00	EST	6.9	P	20900	P	11.72	P	0.00	P
USGS	03287500	2014-01-01 08:15	EST	6.9	P	20900	P	11.72	P	0.00	P
USGS	03287500	2014-01-01 08:30	EST	6.9	P	20900	P	11.72	P	0.00	P
USGS	03287500	2014-01-01 08:45	EST	6.9	P	20900	P	11.71	P	0.00	P
USGS	03287500	2014-01-01 09:00	EST	6.9	P	20800	P	11.70	P	0.00	P
USGS	03287500	2014-01-01 09:15	EST	6.9	P	20900	P	11.71	P	0.00	P
USGS	03287500	2014-01-01 09:30	EST	6.8	P	20800	P	11.70	P	0.00	P
USGS	03287500	2014-01-01 09:45	EST	6.8	P	20700	P	11.68	P	0.00	P
USGS	03287500	2014-01-01 10:00	EST	6.8	P	20700	P	11.68	P	0.00	P
USGS	03287500	2014-01-01 10:15	EST	6.8	P	20700	P	11.68	P	0.00	P
USGS	03287500	2014-01-01 10:30	EST	6.8	P	20600	P	11.67	P	0.00	P
USGS	03287500	2014-01-01 10:45	EST	6.8	P	20600	P	11.67	P	0.00	P
USGS	03287500	2014-01-01 11:00	EST	6.8	P	20500	P	11.65	P	0.00	P
USGS	03287500	2014-01-01 11:15	EST	6.8	P	20500	P	11.65	P	0.00	P
USGS	03287500	2014-01-01 11:30	EST	6.8	P	20400	P	11.64	P	0.00	P
USGS	03287500	2014-01-01 11:45	EST	6.8	P	20500	P	11.65	P	0.00	P
USGS	03287500	2014-01-01 12:00	EST	6.8	P	20400	P	11.64	P	0.00	P
USGS	03287500	2014-01-01 12:15	EST	6.8	P	20400	P	11.63	P	0.00	P
USGS	03287500	2014-01-01 12:30	EST	6.7	P	20200	P	11.61	P	0.00	P
USGS	03287500	2014-01-01 12:45	EST	6.7	P	20300	P	11.62	P	0.00	P
USGS	03287500	2014-01-01 13:00	EST	6.7	P	20200	P	11.61	P	0.00	P
USGS	03287500	2014-01-01 13:15	EST	6.7	P	20300	P	11.62	P	0.00	P
USGS	03287500	2014-01-01 13:30	EST	6.7	P	20100	P	11.59	P	0.00	P
USGS	03287500	2014-01-01 13:45	EST	6.7	P	20200	P	11.60	P	0.00	P
USGS	03287500	2014-01-01 14:00	EST	6.7	P	20000	P	11.58	P	0.00	P
USGS	03287500	2014-01-01 14:15	EST	6.7	P	20000	P	11.57	P	0.00	P
USGS	03287500	2014-01-01 14:30	EST	6.7	P	20000	P	11.58	P	0.00	P
USGS	03287500	2014-01-01 14:45	EST	6.7	P	20000	P	11.58	P	0.00	P
USGS	03287500	2014-01-01 15:00	EST	6.7	P	19900	P	11.56	P	0.00	P
USGS	03287500	2014-01-01 15:15	EST	6.7	P	19800	P	11.55	P	0.00	P
USGS	03287500	2014-01-01 15:30	EST	6.7	P	19900	P	11.56	P	0.00	P
USGS	03287500	2014-01-01 15:45	EST	6.7	P	19800	P	11.55	P	0.00	P
USGS	03287500	2014-01-01 16:00	EST	6.7	P	19800	P	11.54	P	0.00	P
USGS	03287500	2014-01-01 16:15	EST	6.7	P	19800	P	11.54	P	0.00	P
USGS	03287500	2014-01-01 16:30	EST	6.7	P	19700	P	11.53	P	0.00	P
USGS	03287500	2014-01-01 16:45	EST	6.7	P	19700	P	11.53	P	0.00	P
USGS	03287500	2014-01-01 17:00	EST	6.7	P	19700	P	11.52	P	0.00	P
USGS	03287500	2014-01-01 17:15	EST	6.7	P	19700	P	11.52	P	0.00	P
USGS	03287500	2014-01-01 17:30	EST	6.7	P	19500	P	11.50	P	0.00	P
USGS	03287500	2014-01-01 17:45	EST	6.7	P	19500	P	11.50	P	0.00	P
USGS	03287500	2014-01-01 18:00	EST	6.7	P	19500	P	11.50	P	0.00	P
USGS	03287500	2014-01-01 18:15	EST	6.7	P	19500	P	11.49	P	0.00	P
USGS	03287500	2014-01-01 18:30	EST	6.7	P	19400	P	11.48	P	0.00	P
USGS	03287500	2014-01-01 18:45	EST	6.7	P	19300	P	11.47	P	0.00	P
USGS	03287500	2014-01-01 19:00	EST	6.7	P	19300	P	11.47	P	0.00	P
USGS	03287500	2014-01-01 19:15	EST	6.7	P	19300	P	11.46	P	0.00	P
USGS	03287500	2014-01-01 19:30	EST	6.7	P	19200	P	11.45	P	0.00	P
USGS	03287500	2014-01-01 19:45	EST	6.7	P	19200	P	11.45	P	0.00	P
USGS	03287500	2014-01-01 20:00	EST	6.7	P	19200	P	11.44	P	0.00	P
USGS	03287500	2014-01-01 20:15	EST	6.7	P	19000	P	11.42	P	0.00	P
USGS	03287500	2014-01-01 20:30	EST	6.7	P	19000	P	11.42	P	0.00	P
USGS	03287500	2014-01-01 20:45	EST	6.7	P	19000	P	11.42	P	0.00	P
USGS	03287500	2014-01-01 21:00	EST	6.7	P	19000	P	11.41	P	0.00	P
USGS	03287500	2014-01-01 21:15	EST	6.7	P	19000	P	11.41	P	0.00	P
USGS	03287500	2014-01-01 21:30	EST	6.7	P	18800	P	11.39	P	0.00	P
USGS	03287500	2014-01-01 21:45	EST	6.6	P	18800	P	11.38	P	0.00	P
USGS	03287500	2014-01-01 22:00	EST	6.6	P	18800	P	11.39	P	0.00	P
USGS	03287500	2014-01-01 22:15	EST	6.6	P	18800	P	11.39	P	0.00	P
USGS	03287500	2014-01-01 22:30	EST	6.6	P	18600	P	11.35	P	0.00	P
USGS	03287500	2014-01-01 22:45	EST	6.6	P	18700	P	11.36	P	0.00	P
USGS	03287500	2014-01-01 23:00	EST	6.6	P	18600	P	11.35	P	0.00	P
USGS	03287500	2014-01-01 23:15	EST	6.6	P	18600	P	11.35	P	0.00	P
USGS	03287500	2014-01-01 23:30	EST	6.6	P	18500	P	11.33	P	0.00	P
USGS	03287500	2014-01-01 23:45	EST	6.6	P	18500	P	11.33	P	0.00	P
USGS	03287500	2014-01-02 00:00	EST	6.6	P	18400	P	11.32	P	0.00	P
USGS	03287500	2014-01-02 00:15	EST	6.6	P	18300	P	11.31	P	0.00	P
USGS	03287500	2014-01-02 00:30	EST	6.6	P	18300	P	11.30	P	0.00	P
USGS	03287500	2014-01-02 00:45	EST	6.6	P	18200	P	11.29	P	0.00	P
USGS	03287500	2014-01-02 01:00	EST	6.6	P	18200	P	11.28	P	0.00	P
USGS	03287500	2014-01-02 01:15	EST	6.6	P	18200	P	11.28	P	0.00	P
USGS	03287500	2014-01-02 01:30	EST	6.6	P	18000	P	11.26	P	0.00	P
USGS	03287500	2014-01-02 01:45	EST	6.6	P	18000	P	11.26	P	0.00	P
USGS	03287500	2014-01-02 02:00	EST	6.6	P	17900	P	11.24	P	0.00	P
USGS	03287500	2014-01-02 02:15	EST	6.5	P	18000	P	11.25	P	0.00	P
USGS	03287500	2014-01-02 02:30	EST	6.5	P	17800	P	11.23	P	0.00	P
USGS	03287500	2014-01-02 02:45	EST	6.5	P	17800	P	11.23	P	0.00	P
USGS	03287500	2014-01-02 03:00	EST	6.5	P	17700	P	11.21	P	0.00	P
USGS	03287500	2014-01-02 03:15	EST	6.5	P	17700	P	11.21	P	0.00	P
USGS	03287500	2014-01-02 03:30	EST	6.5	P	17700	P	11.21	P	0.00	P
USGS	03287500	2014-01-02 03:45	EST	6.5	P	17700	P	11.20	P	0.00	P
USGS	03287500	2014-01-02 04:00	EST	6.5	P	17500	P	11.18	P	0.00	P
USGS	03287500	2014-01-02 04:15	EST	6.5	P	17500	P	11.18	P	0.00	P
USGS	03287500	2014-01-02 04:30	EST	6.5	P	17500	P	11.17	P	0.00	P
USGS	03287500	2014-01-02 04:45	EST	6.5	P	17400	P	11.16	P	0.00	P
USGS	03287500	2014-01-02 05:00	EST	6.5	P	17400	P	11.15	P	0.00	P
USGS	03287500	2014-01-02 05:15	EST	6.5	P	17300	P	11.14	P	0.00	P
USGS	03287500	2014-01-02 05:30	EST	6.5	P	17300	P	11.14	P	0.00	P
USGS	03287500	2014-01-02 05:45	EST	6.5	P	17300	P	11.14	P	0.00	P
USGS	03287500	2014-01-02 06:00	EST	6.5	P	17200	P	11.12	P	0.00	P
USGS	03287500	2014-01-02 06:15	EST	6.5	P	17100	P	11.11	P	0.00	P
USGS	03287500	2014-01-02 06:30	EST	6.5	P	17100	P	11.10	P	0.00	P
USGS	03287500	2014-01-02 06:45	EST	6.5	P	17100	P	11.10	P	0.00	P
USGS	03287500	2014-01-02 07:00	EST	6.5	P	17100	P	11.10	P	0.00	P
USGS	03287500	2014-01-02 07:15	EST	6.5	P	17000	P	11.09	P	0.00	P
USGS	03287500	2014-01-02 07:30	EST	6.5	P	16900	P	11.08	P	0.00	P
USGS	03287500	2014-01-02 07:45	EST	6.5	P	16900	P	11.07	P	0.01	P
USGS	03287500	2014-01-02 08:00	EST	6.5	P	16800	P	11.06	P	0.00	P
USGS	03287500	2014-01-02 08:15	EST	6.5	P	16700	P	11.04	P	0.00	P
USGS	03287500	2014-01-02 08:30	EST	6.5	P	16700	P	11.04	P	0.01	P
USGS	03287500	2014-01-02 08:45	EST	6.5	P	16600	P	11.03	P	0.00	P
USGS	03287500	2014-01-02 09:00	EST	6.4	P	16600	P	11.02	P	0.00	P
USGS	03287500	2014-01-02 09:15	EST	6.4	P	16500	P	11.01	P	0.01	P
USGS	03287500	2014-01-02 09:30	EST	6.4	P	16500	P	11.01	P	0.02	P
USGS	03287500	2014-01-02 09:45	EST	6.4	P	16500	P	11.00	P	0.02	P
USGS	03287500	2014-01-02 10:00	EST	6.4	P	16500	P	11.00	P	0.02	P
