# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2013-07-02 22:10:40 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03290500 KENTUCKY RIVER AT LOCK 2 AT LOCKPORT, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03290500
#    DD parameter   Description
#    02   00065     Gage height, feet
#    06   00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	02_00065	02_00065_cd	06_00060	06_00060_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	03290500	2013-06-25 00:00	EDT	9.74	P	3040	P
USGS	03290500	2013-06-25 00:15	EDT	9.73	P	3020	P
USGS	03290500	2013-06-25 00:30	EDT	9.74	P	3040	P
USGS	03290500	2013-06-25 00:45	EDT	9.73	P	3020	P
USGS	03290500	2013-06-25 01:00	EDT	9.74	P	3040	P
USGS	03290500	2013-06-25 01:15	EDT	9.72	P	2990	P
USGS	03290500	2013-06-25 01:30	EDT	9.72	P	2990	P
USGS	03290500	2013-06-25 01:45	EDT	9.73	P	3020	P
USGS	03290500	2013-06-25 02:00	EDT	9.73	P	3020	P
USGS	03290500	2013-06-25 02:15	EDT	9.72	P	2990	P
USGS	03290500	2013-06-25 02:30	EDT	9.72	P	2990	P
USGS	03290500	2013-06-25 02:45	EDT	9.70	P	2940	P
USGS	03290500	2013-06-25 03:00	EDT	9.70	P	2940	P
USGS	03290500	2013-06-25 03:15	EDT	9.70	P	2940	P
USGS	03290500	2013-06-25 03:30	EDT	9.70	P	2940	P
USGS	03290500	2013-06-25 03:45	EDT	9.70	P	2940	P
USGS	03290500	2013-06-25 04:00	EDT	9.70	P	2940	P
USGS	03290500	2013-06-25 04:15	EDT	9.69	P	2920	P
USGS	03290500	2013-06-25 04:30	EDT	9.68	P	2900	P
USGS	03290500	2013-06-25 04:45	EDT	9.70	P	2940	P
USGS	03290500	2013-06-25 05:00	EDT	9.69	P	2920	P
USGS	03290500	2013-06-25 05:15	EDT	9.69	P	2920	P
USGS	03290500	2013-06-25 05:30	EDT	9.68	P	2900	P
USGS	03290500	2013-06-25 05:45	EDT	9.68	P	2900	P
USGS	03290500	2013-06-25 06:00	EDT	9.68	P	2900	P
USGS	03290500	2013-06-25 06:15	EDT	9.68	P	2900	P
USGS	03290500	2013-06-25 06:30	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 06:45	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 07:00	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 07:15	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 07:30	EDT	9.67	P	2870	P
USGS	03290500	2013-06-25 07:45	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 08:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 08:15	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 08:30	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 08:45	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 09:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 09:15	EDT	9.65	P	2820	P
USGS	03290500	2013-06-25 09:30	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 09:45	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 10:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 10:15	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 10:30	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 10:45	EDT	9.65	P	2820	P
USGS	03290500	2013-06-25 11:00	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 11:15	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 11:30	EDT	9.66	P	2850	P
USGS	03290500	2013-06-25 11:45	EDT	9.66	P	2850	P
