# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2013-07-12 09:51:29 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03298500 SALT RIVER AT SHEPHERDSVILLE, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03298500
#    DD parameter statistic   Description
#    05   00060     00003     Discharge, cubic feet per second (Mean)
#    08   80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#    09   80155     00003     Suspended sediment discharge, tons per day (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	05_00060_00003	05_00060_00003_cd	08_80154_00003	08_80154_00003_cd	09_80155_00003	09_80155_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	03298500	1955-01-01	1880	A	269	A	1360	A
USGS	03298500	1955-01-02	1450	A	134	A	525	A
USGS	03298500	1955-01-03	1220	A	86	A	283	A
USGS	03298500	1955-01-04	1090	A	68	A	225	A
USGS	03298500	1955-01-05	3650	A	691	A	6810	A
USGS	03298500	1955-01-06	3740	A	228	A	2300	A
USGS	03298500	1955-01-07	2470	A	125	A	834	A
USGS	03298500	1955-01-08	1550	A	71	A	297	A
USGS	03298500	1955-01-09	1250	A	46	A	155	A
USGS	03298500	1955-01-10	1040	A	37	A	104	A
USGS	03298500	1955-01-11	978	A	27	A	71	A
USGS	03298500	1955-01-12	970	A	22	A	58	A
USGS	03298500	1955-01-13	994	A	22	A	59	A
USGS	03298500	1955-01-14	898	A	14	A	34	A
USGS	03298500	1955-01-15	978	A	10	A	30	A
USGS	03298500	1955-01-16	1360	A	40	A	147	A
USGS	03298500	1955-01-17	1370	A	43	A	159	A
USGS	03298500	1955-01-18	1130	A	42	A	128	A
USGS	03298500	1955-01-19	954	A	30	A	77	A
USGS	03298500	1955-01-20	818	A	21	A	46	A
USGS	03298500	1955-01-21	810	A	18	A	43	A
USGS	03298500	1955-01-22	1490	A	71	A	286	A
USGS	03298500	1955-01-23	1510	A	59	A	240	A
USGS	03298500	1955-01-24	1230	A	37	A	123	A
USGS	03298500	1955-01-25	1000	A	24	A	65	A
USGS	03298500	1955-01-26	818	A	17	A	38	A
USGS	03298500	1955-01-27	573	A	15	A	23	A
USGS	03298500	1955-01-28	450	A	9	A	11	A
USGS	03298500	1955-01-29	370	A	6	A	6.0	A
USGS	03298500	1955-01-30	330	A	7	A	6.0	A
USGS	03298500	1955-01-31	300	A	8	A	6.0	A
USGS	03298500	1955-02-01	360	A	7	A	7.0	A
USGS	03298500	1955-02-02	1210	A	34	A	143	A
USGS	03298500	1955-02-03	1500	A	197	A	798	A
