# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-13 17:56:35 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03401385 DAVIS BRANCH AT HIGHWAY 988 NEAR MIDDLESBORO, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03401385
#    DD parameter   Description
#    02   00065     Gage height, feet
#    03   00010     Temperature, water, degrees Celsius
#    04   00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#    05   00400     pH, water, unfiltered, field, standard units
#    06   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#    07   63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
#     ~  Value is a system interpolated value.  
# 
agency_cd	site_no	datetime	tz_cd	02_00065	02_00065_cd	03_00010	03_00010_cd	04_00300	04_00300_cd	05_00400	05_00400_cd	06_00095	06_00095_cd	07_63680	07_63680_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03401385	2014-03-07 00:00	EST	0.63	P	7.1	P	11.5	P	6.6	P	38	P	1.1	P
USGS	03401385	2014-03-07 00:15	EST	0.63	P	7.1	P	11.5	P	6.6	P	38	P	1.4	P
USGS	03401385	2014-03-07 00:30	EST	0.64	P	7.0	P	11.5	P	6.6	P	38	P	1.5	P
USGS	03401385	2014-03-07 00:45	EST	0.64	P	7.0	P	11.4	P	6.6	P	38	P	1.4	P
USGS	03401385	2014-03-07 01:00	EST	0.64	P	7.0	P	11.4	P	6.6	P	38	P	1.4	P
USGS	03401385	2014-03-07 01:15	EST	0.64	P	6.9	P	11.4	P	6.6	P	38	P	1.5	P
USGS	03401385	2014-03-07 01:30	EST	0.64	P	6.9	P	11.4	P	6.6	P	38	P	1.4	P
USGS	03401385	2014-03-07 01:45	EST	0.64	P	6.8	P	11.4	P	6.6	P	38	P	1.5	P
USGS	03401385	2014-03-07 02:00	EST	0.64	P	6.8	P	11.4	P	6.6	P	38	P	1.4	P
USGS	03401385	2014-03-07 03:15	EST	0.61	P	6.6	P	11.4	P	6.6	P	38	P	1.4	P
USGS	03401385	2014-03-07 03:30	EST	0.62	P	6.6	P	11.4	P	6.6	P	38	P	1.8	P
USGS	03401385	2014-03-07 03:45	EST	0.62	P	6.6	P	11.4	P	6.6	P	38	P	1.8	P
USGS	03401385	2014-03-07 04:00	EST	0.63	P	6.6	P	11.4	P	6.6	P	38	P	1.6	P
USGS	03401385	2014-03-07 04:15	EST	0.63	P	6.6	P	11.4	P	6.6	P	38	P	1.6	P
USGS	03401385	2014-03-07 04:30	EST	0.63	P	6.5	P	11.4	P	6.6	P	38	P	1.5	P
USGS	03401385	2014-03-07 04:45	EST	0.64	P	6.5	P	11.4	P	6.6	P	38	P	1.5	P
USGS	03401385	2014-03-07 05:00	EST	0.64	P	6.5	P	11.4	P	6.6	P	38	P	1.6	P
USGS	03401385	2014-03-07 05:15	EST	0.64	P	6.5	P	11.4	P	6.6	P	38	P	1.7	P
USGS	03401385	2014-03-07 05:30	EST	0.64	P	6.4	P	11.4	P	6.6	P	38	P	1.8	P
USGS	03401385	2014-03-07 05:45	EST	0.63	P	6.4	P	11.4	P	6.6	P	38	P	1.6	P
USGS	03401385	2014-03-07 06:00	EST	0.63	P	6.4	P	11.4	P	6.6	P	38	P	1.4	P
USGS	03401385	2014-03-07 06:15	EST	0.63	P	6.4	P	11.4	P	6.6	P	38	P	1.3	P
USGS	03401385	2014-03-07 06:30	EST	0.62	P	6.4	P	11.4	P	6.6	P	38	P	1.2	P
USGS	03401385	2014-03-07 06:45	EST	0.61	P	6.3	P	11.5	P	6.6	P	38	P	1.1	P
USGS	03401385	2014-03-07 07:00	EST	0.60	P	6.3	P	11.5	P	6.6	P	38	P	1.1	P
USGS	03401385	2014-03-07 07:15	EST	0.59	P	6.3	P	11.5	P	6.6	P	38	P	1.0	P
USGS	03401385	2014-03-07 07:30	EST	0.59	P	6.3	P	11.5	P	6.6	P	38	P	1.0	P
USGS	03401385	2014-03-07 07:45	EST	0.60	P	6.2	P	11.5	P	6.6	P	38	P	1.0	P
USGS	03401385	2014-03-07 08:00	EST	0.61	P	6.2	P	11.5	P	6.6	P	38	P	1.1	P
USGS	03401385	2014-03-07 08:15	EST	0.62	P	6.2	P	11.5	P	6.6	P	38	P	1.1	P
USGS	03401385	2014-03-07 08:30	EST	0.63	P	6.2	P	11.5	P	6.6	P	38	P	1.1	P
USGS	03401385	2014-03-07 08:45	EST	0.63	P	6.3	P	11.5	P	6.6	P	39	P	1.1	P
USGS	03401385	2014-03-07 09:00	EST	0.63	P	6.3	P	11.6	P	6.6	P	39	P	1.0	P
USGS	03401385	2014-03-07 09:15	EST	0.63	P	6.4	P	11.6	P	6.6	P	39	P	1.1	P
USGS	03401385	2014-03-07 09:30	EST	0.63	P	6.4	P	11.6	P	6.6	P	39	P	1.2	P
USGS	03401385	2014-03-07 09:45	EST	0.63	P	6.5	P	11.6	P	6.6	P	39	P	1.4	P
USGS	03401385	2014-03-07 10:00	EST	0.63	P	6.6	P	11.6	P	6.6	P	38	P	1.3	P
USGS	03401385	2014-03-07 10:15	EST	0.63	P	6.6	P	11.6	P	6.6	P	38	P	1.2	P
USGS	03401385	2014-03-07 10:30	EST	0.63	P	6.7	P	11.6	P	6.6	P	38	P	1.1	P
USGS	03401385	2014-03-07 10:45	EST	0.63	P	6.8	P	11.6	P	6.6	P	38	P	1.1	P
USGS	03401385	2014-03-07 11:00	EST	0.63	P	7.0	P	11.7	P	6.7	P	38	P	1.0	P
USGS	03401385	2014-03-07 11:15	EST	0.63	P	7.1	P	11.7	P	6.7	P	38	P	1	P
USGS	03401385	2014-03-07 11:30	EST	0.63	P	7.2	P	11.7	P	6.7	P	38	P	1.0	P
USGS	03401385	2014-03-07 11:45	EST	0.63	P	7.3	P	11.7	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 12:00	EST	0.63	P	7.5	P	11.7	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 12:15	EST	0.63	P	7.7	P	11.7	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 12:30	EST	0.63	P	7.9	P	11.7	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 12:45	EST	0.63	P	8.0	P	11.6	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-07 13:00	EST	0.63	P	8.3	P	11.6	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 13:15	EST	0.63	P	8.5	P	11.6	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 13:30	EST	0.63	P	8.7	P	11.6	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 13:45	EST	0.63	P	8.8	P	11.6	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 14:00	EST	0.63	P	9.0	P	11.5	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 14:15	EST	0.63	P	9.1	P	11.5	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 14:30	EST	0.63	P	9.2	P	11.5	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 14:45	EST	0.63	P	9.3	P	11.4	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 15:00	EST	0.63	P	9.4	P	11.4	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 15:15	EST	0.63	P	9.4	P	11.4	P	6.7	P	38	P	1	P
USGS	03401385	2014-03-07 15:30	EST	0.62	P	9.5	P	11.4	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 15:45	EST	0.62	P	9.6	P	11.4	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 16:00	EST	0.62	P	9.7	P	11.4	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 16:15	EST	0.62	P	9.8	P	11.3	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 16:30	EST	0.62	P	9.8	P	11.3	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 16:45	EST	0.62	P	9.9	P	11.3	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 17:00	EST	0.62	P	9.9	P	11.3	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 17:15	EST	0.62	P	9.9	P	11.2	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 17:30	EST	0.62	P	10	P	11.2	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 17:45	EST	0.62	P	10.0	P	11.2	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 18:00	EST	0.62	P	10.0	P	11.2	P	6.7	P	38	P	1	P
USGS	03401385	2014-03-07 18:15	EST	0.62	P	10.0	P	11.1	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 18:30	EST	0.62	P	10.1	P	11.1	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 18:45	EST	0.61	P	10.1	P	11.1	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 19:00	EST	0.61	P	10.1	P	11.0	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 19:15	EST	0.62	P	10.1	P	11.0	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 19:30	EST	0.62	P	10.1	P	11.0	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 19:45	EST	0.62	P	10.1	P	10.9	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 20:00	EST	0.62	P	10.1	P	10.9	P	6.7	P	38	P	0.9	P
USGS	03401385	2014-03-07 20:15	EST	0.61	P	10.1	P	10.9	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-07 20:30	EST	0.61	P	10.1	P	10.9	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-07 20:45	EST	0.61	P	10.1	P	10.9	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-07 21:00	EST	0.61	P	10.1	P	10.9	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-07 21:15	EST	0.61	P	10.0	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-07 21:30	EST	0.61	P	10.0	P	10.8	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-07 21:45	EST	0.61	P	10	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-07 22:00	EST	0.61	P	9.9	P	10.8	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-07 22:15	EST	0.61	P	9.9	P	10.8	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-07 22:30	EST	0.61	P	9.8	P	10.8	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-07 22:45	EST	0.60	P	9.7	P	10.8	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-07 23:00	EST	0.59	P	9.7	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-07 23:15	EST	0.58	P	9.6	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-07 23:30	EST	0.58	P	9.5	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-07 23:45	EST	0.57	P	9.4	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 00:00	EST	0.57	P	9.3	P	10.8	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 00:15	EST	0.57	P	9.3	P	10.9	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 00:30	EST	0.58	P	9.2	P	10.9	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 00:45	EST	0.59	P	9.2	P	10.9	P	6.6	P	39	P	0.8	P
USGS	03401385	2014-03-08 01:00	EST	0.60	P	9.1	P	10.9	P	6.7	P	39	P	0.8	P
USGS	03401385	2014-03-08 01:15	EST	0.60	P	9.0	P	10.9	P	6.6	P	39	P	0.9	P
USGS	03401385	2014-03-08 01:30	EST	0.60	P	9.0	P	10.9	P	6.6	P	39	P	0.9	P
USGS	03401385	2014-03-08 01:45	EST	0.60	P	8.9	P	10.9	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 02:00	EST	0.60	P	8.8	P	10.9	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 02:15	EST	0.60	P	8.7	P	10.9	P	6.7	P	39	P	0.9	P
USGS	03401385	2014-03-08 02:30	EST	0.60	P	8.7	P	10.9	P	6.6	P	39	P	0.9	P
USGS	03401385	2014-03-08 02:45	EST	0.59	P	8.6	P	10.9	P	6.6	P	39	P	1	P
USGS	03401385	2014-03-08 03:00	EST	0.59	P	8.5	P	10.9	P	6.6	P	39	P	1	P
USGS	03401385	2014-03-08 03:15	EST	0.59	P	8.4	P	10.9	P	6.6	P	39	P	1.0	P
USGS	03401385	2014-03-08 03:30	EST	0.59	P	8.3	P	10.9	P	6.6	P	39	P	1	P
USGS	03401385	2014-03-08 03:45	EST	0.59	P	8.3	P	10.9	P	6.6	P	39	P	1	P
USGS	03401385	2014-03-08 04:00	EST	0.59	P	8.2	P	10.9	P	6.6	P	39	P	1	P
USGS	03401385	2014-03-08 04:15	EST	0.59	P	8.1	P	10.9	P	6.6	P	39	P	1.0	P
USGS	03401385	2014-03-08 04:30	EST	0.59	P	8.0	P	11.0	P	6.6	P	39	P	1.0	P
USGS	03401385	2014-03-08 04:45	EST	0.60	P	8.0	P	11.0	P	6.6	P	39	P	1.2	P
USGS	03401385	2014-03-08 05:00	EST	0.60	P	7.9	P	11.0	P	6.6	P	39	P	1.2	P
USGS	03401385	2014-03-08 05:15	EST	0.60	P	7.8	P	11.0	P	6.6	P	39	P	1.1	P
USGS	03401385	2014-03-08 05:30	EST	0.60	P	7.7	P	11.0	P	6.6	P	39	P	1.2	P
USGS	03401385	2014-03-08 05:45	EST	0.60	P	7.6	P	11.0	P	6.6	P	39	P	1.3	P
USGS	03401385	2014-03-08 06:00	EST	0.60	P	7.6	P	11.0	P	6.6	P	39	P	1.3	P
USGS	03401385	2014-03-08 06:15	EST	0.59	P	7.5	P	11.0	P	6.6	P	39	P	1.3	P
USGS	03401385	2014-03-08 06:30	EST	0.59	P	7.4	P	11.1	P	6.6	P	39	P	1.3	P
USGS	03401385	2014-03-08 06:45	EST	0.59	P	7.3	P	11.1	P	6.6	P	39	P	1.2	P
USGS	03401385	2014-03-08 07:00	EST	0.59	P	7.3	P	11.1	P	6.6	P	39	P	1.2	P
USGS	03401385	2014-03-08 07:15	EST	0.59	P	7.2	P	11.1	P	6.6	P	39	P	1.2	P
USGS	03401385	2014-03-08 07:30	EST	0.59	P	7.2	P	11.1	P	6.6	P	39	P	1.1	P
USGS	03401385	2014-03-08 07:45	EST	0.59	P	7.1	P	11.1	P	6.6	P	39	P	1.1	P
USGS	03401385	2014-03-08 08:00	EST	0.59	P	7.0	P	11.2	P	6.6	P	39	P	1.1	P
USGS	03401385	2014-03-08 08:15	EST	0.60	P	7.0	P	11.2	P	6.6	P	39	P	1.0	P
USGS	03401385	2014-03-08 08:30	EST	0.60	P	6.9	P	11.2	P	6.6	P	39	P	1.0	P
USGS	03401385	2014-03-08 08:45	EST	0.60	P	6.9	P	11.2	P	6.6	P	40	P	1	P
USGS	03401385	2014-03-08 09:00	EST	0.60	P	6.9	P	11.2	P	6.6	P	40	P	1	P
USGS	03401385	2014-03-08 09:15	EST	0.60	P	6.9	P	11.3	P	6.6	P	40	P	1.0	P
USGS	03401385	2014-03-08 09:30	EST	0.60	P	7.0	P	11.3	P	6.6	P	40	P	1.0	P
USGS	03401385	2014-03-08 09:45	EST	0.60	P	7.1	P	11.3	P	6.6	P	40	P	1.0	P
USGS	03401385	2014-03-08 10:00	EST	0.60	P	7.2	P	11.3	P	6.6	P	40	P	1.0	P
USGS	03401385	2014-03-08 10:15	EST	0.60	P	7.3	P	11.3	P	6.7	P	40	P	1.0	P
USGS	03401385	2014-03-08 10:30	EST	0.60	P	7.4	P	11.4	P	6.7	P	39	P	1.0	P
