# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://waterdata.usgs.gov/nwis/help/?provisional for more information.
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-03-19 17:10:12 EDT	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03401385 DAVIS BRANCH AT HIGHWAY 988 NEAR MIDDLESBORO, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03401385
#    DD parameter   Description
#    03   00010     Temperature, water, degrees Celsius
#    02   00065     Gage height, feet
#    06   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#    04   00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#    05   00400     pH, water, unfiltered, field, standard units
#    07   63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	03_00010	03_00010_cd	02_00065	02_00065_cd	06_00095	06_00095_cd	04_00300	04_00300_cd	05_00400	05_00400_cd	07_63680	07_63680_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03401385	2014-03-12 00:00	EDT	12.0	P	0.50	P	43	P	9.8	P	6.7	P	0.8	P
USGS	03401385	2014-03-12 00:15	EDT	11.9	P	0.49	P	43	P	9.8	P	6.7	P	0.9	P
USGS	03401385	2014-03-12 00:30	EDT	11.9	P	0.48	P	43	P	9.8	P	6.7	P	1.1	P
USGS	03401385	2014-03-12 00:45	EDT	11.8	P	0.48	P	43	P	9.8	P	6.7	P	1.2	P
USGS	03401385	2014-03-12 01:00	EDT	11.8	P	0.48	P	43	P	9.8	P	6.7	P	1.3	P
USGS	03401385	2014-03-12 01:15	EDT	11.8	P	0.48	P	43	P	9.7	P	6.7	P	1.4	P
USGS	03401385	2014-03-12 01:30	EDT	11.7	P	0.48	P	43	P	9.7	P	6.6	P	1.6	P
USGS	03401385	2014-03-12 01:45	EDT	11.7	P	0.48	P	43	P	9.7	P	6.6	P	2.0	P
USGS	03401385	2014-03-12 02:00	EDT	11.6	P	0.48	P	43	P	9.7	P	6.6	P	1.9	P
USGS	03401385	2014-03-12 02:15	EDT	11.6	P	0.49	P	43	P	9.7	P	6.6	P	1.6	P
USGS	03401385	2014-03-12 02:30	EDT	11.6	P	0.50	P	42	P	9.7	P	6.6	P	1.3	P
USGS	03401385	2014-03-12 02:45	EDT	11.6	P	0.50	P	42	P	9.7	P	6.6	P	1.1	P
USGS	03401385	2014-03-12 03:00	EDT	11.6	P	0.50	P	43	P	9.7	P	6.7	P	1	P
USGS	03401385	2014-03-12 03:15	EDT	11.6	P	0.50	P	43	P	9.7	P	6.7	P	1	P
USGS	03401385	2014-03-12 03:30	EDT	11.6	P	0.50	P	43	P	9.7	P	6.7	P	1.0	P
USGS	03401385	2014-03-12 03:45	EDT	11.6	P	0.51	P	43	P	9.7	P	6.7	P	1.3	P
USGS	03401385	2014-03-12 04:00	EDT	11.6	P	0.51	P	43	P	9.7	P	6.7	P	1.8	P
USGS	03401385	2014-03-12 04:15	EDT	11.6	P	0.50	P	43	P	9.7	P	6.7	P	1.8	P
USGS	03401385	2014-03-12 04:30	EDT	11.6	P	0.50	P	43	P	9.7	P	6.7	P	1.6	P
USGS	03401385	2014-03-12 04:45	EDT	11.6	P	0.50	P	43	P	9.7	P	6.7	P	1.4	P
USGS	03401385	2014-03-12 05:00	EDT	11.6	P	0.50	P	43	P	9.7	P	6.7	P	1.4	P
USGS	03401385	2014-03-12 06:15	EDT	11.6	P	0.52	P	43	P	9.7	P	6.7	P	1.6	P
USGS	03401385	2014-03-12 06:30	EDT	11.6	P	0.52	P	43	P	9.7	P	6.7	P	1.5	P
USGS	03401385	2014-03-12 06:45	EDT	11.6	P	0.52	P	43	P	9.6	P	6.7	P	1.5	P
USGS	03401385	2014-03-12 07:00	EDT	11.6	P	0.52	P	43	P	9.6	P	6.6	P	1.6	P
USGS	03401385	2014-03-12 07:15	EDT	11.6	P	0.53	P	43	P	9.6	P	6.6	P	1.5	P
USGS	03401385	2014-03-12 07:30	EDT	11.6	P	0.53	P	43	P	9.6	P	6.6	P	1.5	P
USGS	03401385	2014-03-12 07:45	EDT	11.6	P	0.53	P	43	P	9.6	P	6.6	P	1.5	P
USGS	03401385	2014-03-12 08:00	EDT	11.6	P	0.53	P	43	P	9.6	P	6.6	P	1.5	P
USGS	03401385	2014-03-12 08:15	EDT	11.6	P	0.53	P	43	P	9.6	P	6.6	P	1.4	P
USGS	03401385	2014-03-12 08:30	EDT	11.6	P	0.53	P	43	P	9.6	P	6.6	P	1.4	P
USGS	03401385	2014-03-12 08:45	EDT	11.6	P	0.53	P	43	P	9.6	P	6.6	P	1.3	P
USGS	03401385	2014-03-12 09:00	EDT	11.6	P	0.53	P	43	P	9.6	P	6.6	P	1.3	P
USGS	03401385	2014-03-12 10:15	EDT	11.7	P	0.54	P	43	P	9.7	P	6.6	P	1.2	P
USGS	03401385	2014-03-12 10:30	EDT	11.7	P	0.55	P	43	P	9.7	P	6.6	P	1.2	P
USGS	03401385	2014-03-12 10:45	EDT	11.7	P	0.55	P	43	P	9.7	P	6.7	P	1.2	P
USGS	03401385	2014-03-12 11:00	EDT	11.8	P	0.54	P	43	P	9.7	P	6.7	P	1.2	P
USGS	03401385	2014-03-12 11:15	EDT	11.8	P	0.54	P	43	P	9.7	P	6.7	P	1.1	P
USGS	03401385	2014-03-12 11:30	EDT	11.8	P	0.54	P	43	P	9.8	P	6.7	P	1.1	P
USGS	03401385	2014-03-12 11:45	EDT	11.8	P	0.54	P	43	P	9.8	P	6.7	P	1.1	P
USGS	03401385	2014-03-12 12:00	EDT	11.9	P	0.54	P	43	P	9.8	P	6.7	P	1.1	P
USGS	03401385	2014-03-12 12:15	EDT	12.0	P	0.54	P	43	P	9.9	P	6.7	P	1.1	P
USGS	03401385	2014-03-12 12:30	EDT	11.9	P	0.54	P	43	P	9.9	P	6.7	P	1.1	P
USGS	03401385	2014-03-12 12:45	EDT	11.9	P	0.54	P	43	P	9.8	P	6.7	P	1.1	P
USGS	03401385	2014-03-12 13:00	EDT	11.9	P	0.54	P	43	P	9.9	P	6.7	P	1.1	P
USGS	03401385	2014-03-12 13:15	EDT	11.8	P	0.54	P	43	P	9.8	P	6.7	P	1.0	P
USGS	03401385	2014-03-12 13:30	EDT	11.9	P	0.54	P	43	P	9.9	P	6.7	P	1.0	P
USGS	03401385	2014-03-12 13:45	EDT	11.8	P	0.54	P	43	P	10.0	P	6.7	P	1.0	P
USGS	03401385	2014-03-12 14:00	EDT	11.7	P	0.54	P	43	P	10	P	6.7	P	1.0	P
USGS	03401385	2014-03-12 14:15	EDT	11.7	P	0.54	P	43	P	10	P	6.7	P	1.0	P
